,,,,,,,
zip,uscis_id,lat,lng,,,,
35490,1,33.17,-87.22,,,,
35491,1,32.94,-88.1,,,,
35501,1,33.85,-87.27,,,,
35502,1,33.85,-87.27,,,,
35503,1,33.85,-87.27,,,,
35504,1,33.85,-87.27,,,,
35540,1,34.19,-87.17,,,,
35541,1,34.08,-87.21,,,,
35542,1,33.7,-87.68,,,,
35543,1,34.26,-87.71,,,,
35544,1,33.93,-88.02,,,,
35545,1,33.64,-87.92,,,,
35546,1,33.66,-87.6,,,,
35548,1,34.01,-87.77,,,,
35549,1,33.89,-87.52,,,,
35550,1,33.76,-87.19,,,,
35551,1,34.17,-87.61,,,,
35552,1,34.02,-88.16,,,,
35553,1,34.14,-87.4,,,,
35554,1,33.92,-87.61,,,,
35555,1,33.69,-87.83,,,,
35559,1,33.88,-87.74,,,,
35560,1,33.67,-87.23,,,,
35563,1,33.96,-87.91,,,,
35564,1,34.27,-87.83,,,,
35565,1,34.23,-87.61,,,,
35570,1,34.14,-87.98,,,,
35571,1,34.32,-87.92,,,,
35572,1,34.12,-87.25,,,,
35573,1,33.9,-87.55,,,,
35574,1,33.58,-87.98,,,,
35575,1,34.04,-87.54,,,,
35576,1,33.55,-88.08,,,,
35577,1,34.1,-87.6,,,,
35578,1,33.98,-87.48,,,,
35579,1,33.71,-87.38,,,,
35580,1,33.73,-87.28,,,,
35581,1,34.35,-87.7,,,,
35582,1,34.43,-88.13,,,,
35584,1,33.82,-87.08,,,,
35585,1,34.37,-87.69,,,,
35586,1,33.89,-88.13,,,,
35587,1,33.83,-87.44,,,,
35592,1,33.75,-88.11,,,,
35593,1,34.37,-88.05,,,,
35594,1,33.92,-87.79,,,,
35601,1,34.57,-86.98,,,,
35602,1,34.57,-86.98,,,,
35603,1,34.57,-86.98,,,,
35609,1,34.57,-86.98,,,,
35610,1,34.91,-87.27,,,,
35611,1,34.78,-86.95,,,,
35612,1,34.78,-86.95,,,,
35613,1,34.78,-86.95,,,,
35614,1,34.78,-86.95,,,,
35615,1,34.65,-86.82,,,,
35616,1,34.75,-87.96,,,,
35617,1,34.95,-87.78,,,,
35618,1,34.66,-87.31,,,,
35619,1,34.39,-87.12,,,,
35620,1,34.92,-86.97,,,,
35621,1,34.33,-86.75,,,,
35622,1,34.37,-86.9,,,,
35630,1,34.82,-87.66,,,,
35631,1,34.82,-87.66,,,,
35632,1,34.82,-87.66,,,,
35633,1,34.82,-87.66,,,,
35634,1,34.82,-87.66,,,,
35640,1,34.43,-86.93,,,,
35643,1,34.63,-87.18,,,,
35645,1,34.86,-87.52,,,,
35646,1,34.69,-87.53,,,,
35647,1,34.98,-87.14,,,,
35648,1,34.96,-87.37,,,,
35649,1,34.62,-86.88,,,,
35650,1,34.48,-87.28,,,,
35651,1,34.4,-87.44,,,,
35652,1,34.82,-87.28,,,,
35653,1,34.5,-87.72,,,,
35654,1,34.5,-87.72,,,,
35660,1,34.75,-87.7,,,,
35661,1,34.74,-87.64,,,,
35662,1,34.74,-87.64,,,,
35670,1,34.47,-86.8,,,,
35671,1,34.66,-86.95,,,,
35672,1,34.67,-87.4,,,,
35673,1,34.59,-87.08,,,,
35674,1,34.72,-87.7,,,,
35677,1,34.91,-88.06,,,,
35699,1,34.57,-86.98,,,,
35739,1,34.98,-86.83,,,,
35740,1,34.94,-85.71,,,,
35741,1,34.7,-86.46,,,,
35742,1,34.77,-87.01,,,,
35744,1,34.6,-85.91,,,,
35745,1,34.91,-86.2,,,,
35746,1,34.83,-85.98,,,,
35747,1,34.51,-86.25,,,,
35748,1,34.7,-86.37,,,,
35749,1,34.85,-86.74,,,,
35750,1,34.92,-86.56,,,,
35751,1,34.79,-86.25,,,,
35752,1,34.71,-85.96,,,,
35754,1,34.48,-86.62,,,,
35755,1,34.53,-86.09,,,,
35756,1,34.7,-86.74,,,,
35757,1,34.7,-86.74,,,,
35758,1,34.7,-86.74,,,,
35759,1,34.87,-86.57,,,,
35760,1,34.53,-86.41,,,,
35761,1,34.9,-86.42,,,,
35762,1,34.79,-86.7,,,,
35763,1,34.6,-86.46,,,,
35764,1,34.66,-86.32,,,,
35765,1,34.68,-85.84,,,,
35766,1,34.83,-86.22,,,,
35767,1,34.73,-86.5,,,,
35768,1,34.64,-86.04,,,,
35769,1,34.64,-86.04,,,,
35771,1,34.58,-85.98,,,,
35772,1,34.87,-85.83,,,,
35773,1,34.9,-86.72,,,,
35774,1,34.74,-86.27,,,,
35775,1,34.55,-86.69,,,,
35776,1,34.62,-86.28,,,,
35801,1,34.7,-86.62,,,,
35802,1,34.7,-86.62,,,,
35803,1,34.7,-86.62,,,,
35804,1,34.7,-86.62,,,,
35805,1,34.7,-86.62,,,,
35806,1,34.7,-86.62,,,,
35807,1,34.7,-86.62,,,,
35808,1,34.7,-86.62,,,,
35809,1,34.7,-86.62,,,,
35810,1,34.7,-86.62,,,,
35811,1,34.7,-86.62,,,,
35812,1,34.7,-86.62,,,,
35813,1,34.7,-86.62,,,,
35814,1,34.7,-86.62,,,,
35815,1,34.7,-86.62,,,,
35816,1,34.7,-86.62,,,,
35824,1,34.7,-86.62,,,,
35893,1,34.7,-86.62,,,,
35894,1,34.7,-86.62,,,,
35895,1,34.7,-86.62,,,,
35896,1,34.7,-86.62,,,,
35897,1,34.7,-86.62,,,,
35898,1,34.7,-86.62,,,,
35899,1,34.7,-86.62,,,,
35901,1,34.01,-86.01,,,,
35902,1,34.01,-86.01,,,,
35903,1,34.01,-86.01,,,,
35904,1,34.01,-86.01,,,,
35905,1,34.01,-86.01,,,,
35906,1,33.92,-86.08,,,,
35907,1,34.01,-86.01,,,,
35950,1,34.26,-86.2,,,,
